annee;usagers;vehicules;lieux;caracteristiques
2023;68848e2a-28dd-4efc-9d5f-d512f7dbe66f;146a42f5-19f0-4b3e-a887-5cd8fbef057b;8bef19bf-a5e4-46b3-b5f9-a145da4686bc;104dbb32-704f-4e99-a71e-43563cb604f2
2022;62c20524-d442-46f5-bfd8-982c59763ec8;c9742921-4427-41e5-81bc-f13af8bc31a0;a6ef711a-1f03-44cb-921a-0ce8ec975995;5fc299c0-4598-4c29-b74c-6a67b0cc27e7
2021;ba5a1956-7e82-41b7-a602-89d7dd484d7a;0bb5953a-25d8-46f8-8c25-b5c2f5ba905e;8a4935aa-38cd-43af-bf10-0209d6d17434;85cfdc0c-23e4-4674-9bcd-79a970d7269b
2020;78c45763-d170-4d51-a881-e3147802d7ee;a66be22f-c346-49af-b196-71df24702250;e85c41f7-d4ea-4faf-877f-ab69a620ce21;07a88205-83c1-4123-a993-cba5331e8ae0
2019;36b1b7b3-84b4-4901-9163-59ae8a9e3028;780cd335-5048-4bd6-a841-105b44eb2667;2ad65965-36a1-4452-9c08-61a6c874e3e6;e22ba475-45a3-46ac-a0f7-9ca9ed1e283a
2018;72b251e1-d5e1-4c46-a1c2-c65f1b26549a;b4aaeede-1a80-4d76-8f97-543dad479167;d9d65ca1-16a3-4ea3-b7c8-2412c92b69d9;6eee0852-cbd7-447e-bd70-37c433029405
2017;07bfe612-0ad9-48ef-92d3-f5466f8465fe;d6103d0c-6db5-466f-b724-91cbea521533;9b76a7b6-3eef-4864-b2da-1834417e305c;9a7d408b-dd72-4959-ae7d-c854ec505354
2016;e4c6f4fe-7c68-4a1d-9bb6-b0f1f5d45526;be2191a6-a7cd-446f-a9fc-8d698688eb9e;08b77510-39c4-4761-bf02-19457264790f;96aadc9f-0b55-4e9a-a70e-c627ed97e6f7
2015;b43a4237-9359-4217-b833-8d3dc29a6c24;3420157e-7d23-4832-a710-a3a2f2df909c;31db21ef-4328-4c5e-bf3d-66a8fe82e6a2;185fbdc7-d4c5-4522-888e-ac9550718f71
2014;457c10ff-ea6c-4238-9af1-d8dc62b896d4;86c64436-427f-4042-a4ee-ed0aa31bac76;617af155-1b7c-41d6-9504-576878c4d9af;85dfe8c6-589f-4e76-8a07-9f59e49ec10d
2013;af4349c5-0293-4639-8694-b8b628bfc6c3;3c059a3c-4624-4513-b3a4-2b18c48dfd47;1e00e4dd-e204-4a08-9e10-9b8a02791ba9;18b1a57a-57bf-4bf1-b9ee-dfa5a3154225
2012;a19e060e-1c18-4272-ac4e-d4745ab8fade;48683290-0d4d-429a-8fb6-977887098d5d;59cc1244-2397-430a-8afb-6a0a071ff4d2;b2518ec1-6529-47bc-9d55-40e2effeb0e7
2011;bd946492-31b3-428e-8494-a1e203bdc9cc;569e3f44-ff4c-4a25-bb45-f4a3646b392d;26d37f6b-3603-42b0-a779-bbeaa19af4a6;37991267-8a15-4a9d-9b1c-ff3e6bea3625
2010;c5e5664d-1483-41da-a4c6-5f1727d7a353;4dd8a9ea-785f-4e3f-8f83-3838a60ac7f5;86577e9c-56ab-4673-95cb-3351e804fc03;decdfe8c-38ff-4a06-b7fc-615785f2914d
2009;2387db3d-11ee-4df4-aa31-4c3c748244d4;787ba26e-2588-47aa-b73d-346f120f9c59;0a25081b-89b6-4f7c-9d31-72ec679f0abf;fdfacdb9-f48e-4759-bae5-48d063216acb
2008;433e26cf-d4c8-4dd9-b3f2-ecbc8a8f0509;6d9e4024-8207-4020-ae4c-5b83504e7268;237a4d23-1b66-43fb-8832-2f89fbbc6beb;722ebb99-c8b2-4635-bf8d-125dd280ee42
2007;c5c30fc2-9bfd-4bcd-b45b-f01a31f1d087;6e905a7a-c48d-4f5c-a0bb-54b83c8dfe5f;1d967969-c3d2-45c6-adc7-b3b72a8c6e89;6fc7b169-4dfe-442c-8c28-8bd773aeddf8
2006;ebb4c37e-1616-497d-b5ed-f8113bed2ae7;c3362179-9c39-4056-9503-ce00ea6b810e;28b1fbdc-f984-40d8-8614-236ee26adc7c;fafa33cf-50cb-4092-a819-d5209f684089
2005;cecdbd46-11f2-41fa-b0bd-e6e223de6b3c;924b962b-4400-4468-9f7d-0bdba28f51e9;3a3488e0-86a1-4917-b082-f3bdc25f6922;a47866f7-ece1-4de8-8d31-3a1b4f477e08
